0|Chủ cửa hàng|12:08 AM|Đăng nhập|Thành công
1|Quản trị hệ thống|12:09 AM|Đăng xuất|Thành công
2|Quản trị hệ thống|12:09 AM|Đăng xuất|Thành công
3|Chủ cửa hàng|5:49 AM|Đăng nhập|Thành công
4|Chủ cửa hàng|5:49 AM|Kết thúc sử dụng không tính tiền|Thời điểm kết thúc:5:49 AM
5|Chủ cửa hàng|5:53 AM|Bắt đầu sử dụng không tính tiền|Thời điểm bắt đầu: 5:53 AM
6|Quản trị hệ thống|5:53 AM|Đăng xuất|Thành công
7|Quản trị hệ thống|5:53 AM|Đăng xuất|Thành công
8|Chủ cửa hàng|6:28 AM|Đăng nhập|Thành công
9|Quản trị hệ thống|6:29 AM|Đăng xuất|Thành công
10|Quản trị hệ thống|6:29 AM|Đăng xuất|Thành công
11|Chủ cửa hàng|6:36 AM|Đăng nhập|Thành công
12|Chủ cửa hàng|6:36 AM|Kết thúc sử dụng không tính tiền|Thời điểm kết thúc:6:36 AM
13|Chủ cửa hàng|6:37 AM|Bắt đầu sử dụng không tính tiền|Thời điểm bắt đầu: 6:37 AM
14|Quản trị hệ thống|6:37 AM|Đăng xuất|Thành công
15|Quản trị hệ thống|6:37 AM|Đăng xuất|Thành công
16|Chủ cửa hàng|6:46 AM|Đăng nhập|Thành công
17|Chủ cửa hàng|6:46 AM|Kết thúc sử dụng không tính tiền|Thời điểm kết thúc:6:46 AM
18|Quản trị hệ thống|6:46 AM|Đăng xuất|Thành công
19|Quản trị hệ thống|6:46 AM|Đăng xuất|Thành công
20|Chủ cửa hàng|6:49 AM|Đăng nhập|Thành công
21|Quản trị hệ thống|6:49 AM|Đăng xuất|Thành công
22|Quản trị hệ thống|6:49 AM|Đăng xuất|Thành công
23|Chủ cửa hàng|6:50 AM|Đăng nhập|Thành công
24|Chủ cửa hàng|6:53 AM|Đăng nhập|Thành công
25|Quản trị hệ thống|6:53 AM|Đăng xuất|Thành công
26|Quản trị hệ thống|6:53 AM|Đăng xuất|Thành công
27|Chủ cửa hàng|6:55 AM|Đăng nhập|Thành công
28|Chủ cửa hàng|6:58 AM|Đăng nhập|Thành công
29|Chủ cửa hàng|7:01 AM|Đăng nhập|Thành công
30|Chủ cửa hàng|7:13 AM|Đăng nhập|Thành công
31|Quản trị hệ thống|7:14 AM|Đăng xuất|Thành công
32|Quản trị hệ thống|7:14 AM|Đăng xuất|Thành công
33|Chủ cửa hàng|7:16 AM|Đăng nhập|Thành công
34|Chủ cửa hàng|7:18 AM|Đăng nhập|Thành công
35|Quản trị hệ thống|7:20 AM|Đăng xuất|Thành công
36|Quản trị hệ thống|7:20 AM|Đăng xuất|Thành công
37|Chủ cửa hàng|7:20 AM|Đăng nhập|Thành công
38|Quản trị hệ thống|7:21 AM|Đăng xuất|Thành công
39|Quản trị hệ thống|7:21 AM|Đăng xuất|Thành công
40|Chủ cửa hàng|7:26 AM|Đăng nhập|Thành công
41|Quản trị hệ thống|7:26 AM|Đăng xuất|Thành công
42|Quản trị hệ thống|7:26 AM|Đăng xuất|Thành công
