 |sunpac-b1e95273| | |14|3400| 
5|sunpac-b1e95273|9:37:56 PM| |0|200|10/24/2006 12:00:00 AM
6|sunpac-b1e95273|9:38:14 PM| |5|400|10/24/2006 12:00:00 AM
8|sunpac-b1e95273|9:45:06 PM| |2|200|10/24/2006 12:00:00 AM
9|sunpac-b1e95273|9:48:10 PM| |4|400|10/24/2006 12:00:00 AM
11|sunpac-b1e95273|9:55:08 PM| |1|200|10/24/2006 12:00:00 AM
13|sunpac-b1e95273|9:56:47 PM| |1|200|10/24/2006 12:00:00 AM
15|sunpac-b1e95273|9:59:15 PM| |0|200|10/24/2006 12:00:00 AM
18|sunpac-b1e95273|10:00:04 PM| |1|200|10/24/2006 12:00:00 AM
19|sunpac-b1e95273|10:01:35 PM| |0|200|10/24/2006 12:00:00 AM
20|sunpac-b1e95273|10:01:42 PM| |0|0|10/24/2006 12:00:00 AM
21|sunpac-b1e95273|10:01:47 PM| |0|0|10/24/2006 12:00:00 AM
22|sunpac-b1e95273|10:01:53 PM| |0|200|10/24/2006 12:00:00 AM
23|sunpac-b1e95273|10:02:28 PM| |0|200|10/24/2006 12:00:00 AM
24|sunpac-b1e95273|10:02:53 PM| |0|0|10/24/2006 12:00:00 AM
25|sunpac-b1e95273|10:02:58 PM| |0|200|10/24/2006 12:00:00 AM
26|sunpac-b1e95273|10:03:03 PM| |0|0|10/24/2006 12:00:00 AM
27|sunpac-b1e95273|10:03:08 PM| |0|200|10/24/2006 12:00:00 AM
28|sunpac-b1e95273|10:03:13 PM| |0|0|10/24/2006 12:00:00 AM
29|sunpac-b1e95273|10:03:19 PM| |0|0|10/24/2006 12:00:00 AM
30|sunpac-b1e95273|10:03:24 PM| |0|0|10/24/2006 12:00:00 AM
31|sunpac-b1e95273|10:03:31 PM| |0|200|10/24/2006 12:00:00 AM
32|sunpac-b1e95273|10:03:54 PM| |0|200|10/24/2006 12:00:00 AM
