0|Chủ quán|7:38 PM|Xóa toàn bộ nhật ký |Thành công
1|Chủ cửa hàng|7:40 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
2|Chủ cửa hàng|7:51 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
3|Chủ cửa hàng|8:16 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
4|Chủ cửa hàng|8:16 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
5|Quản trị hệ thống|8:16 PM|Đăng xuất|Thành công
6|Chủ cửa hàng|8:21 PM|Đăng nhập|Thành công
7|Chủ cửa hàng|8:22 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
8|Chủ cửa hàng|8:23 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
9|Chủ cửa hàng|9:13 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
10|Chủ cửa hàng|9:27 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
11|Chủ cửa hàng|9:32 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
12|Quản trị hệ thống|9:34 PM|Đăng xuất|Thành công
13|Chủ cửa hàng|9:43 PM|Đăng nhập|Thành công
14|Chủ cửa hàng|9:43 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
15|Chủ cửa hàng|9:43 PM|Bắt đầu sử dụng không tính tiền|Việc sử dụng không hợp lệ bắt đầu bởi chủ cửa hàng
16|Chủ cửa hàng|9:43 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
17|Quản trị hệ thống|9:49 PM|Đăng xuất|Thành công
18|Chủ cửa hàng|9:56 PM|Đăng nhập|Thành công
19|Chủ cửa hàng|9:56 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
20|Chủ cửa hàng|9:57 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
21|Chủ cửa hàng|9:57 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
22|Chủ cửa hàng|9:59 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
23|Chủ cửa hàng|9:59 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
24|Chủ cửa hàng|9:59 PM|Bắt đầu sử dụng không tính tiền|Việc sử dụng không hợp lệ bắt đầu bởi chủ cửa hàng
25|Chủ cửa hàng|10:07 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
26|Chủ cửa hàng|10:17 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
27|Chủ cửa hàng|10:26 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
28|Chủ cửa hàng|10:26 PM|Bắt đầu sử dụng không tính tiền|Việc sử dụng không hợp lệ bắt đầu bởi chủ cửa hàng
29|Chủ cửa hàng|11:13 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
30|Chủ cửa hàng|11:13 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
31|Quản trị hệ thống|11:16 PM|Đăng xuất|Thành công
32|Chủ cửa hàng|11:17 PM|Đăng nhập|Thành công
33|Chủ cửa hàng|11:18 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
34|Chủ cửa hàng|11:23 PM|Kết thúc sử dụng không tính tiền|Việc sử dụng không hợp lệ kết thúc bởi chủ cửa hàng
35|Quản trị hệ thống|11:24 PM|Đăng xuất|Thành công
